Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-29 00:00:00+05:30,85004.75,85250.0,84637.859375,84695.5390625,53300,0.0,0.0
2025-12-30 00:00:00+05:30,84600.9921875,84806.9921875,84470.9375,84675.078125,6900,0.0,0.0
2025-12-31 00:00:00+05:30,84793.578125,85437.171875,84705.5703125,85220.6015625,11600,0.0,0.0
2026-01-01 00:00:00+05:30,85255.546875,85451.703125,85101.5234375,85188.6015625,20600,0.0,0.0
2026-01-02 00:00:00+05:30,85259.359375,85812.2734375,85068.8828125,85762.0078125,17900,0.0,0.0
2026-01-05 00:00:00+05:30,85640.046875,85883.5,85315.328125,85439.6171875,12600,0.0,0.0
2026-01-06 00:00:00+05:30,85331.140625,85397.78125,84900.1015625,85063.34375,23300,0.0,0.0
2026-01-07 00:00:00+05:30,84620.3984375,85075.9921875,84617.4921875,84961.140625,19200,0.0,0.0
2026-01-08 00:00:00+05:30,84778.0234375,84965.2734375,84110.1015625,84180.9609375,26300,0.0,0.0
2026-01-09 00:00:00+05:30,84022.09375,84406.21875,83402.28125,83576.2421875,12500,0.0,0.0
2026-01-12 00:00:00+05:30,83435.3125,83962.328125,82861.0703125,83878.171875,9300,0.0,0.0
2026-01-13 00:00:00+05:30,84079.3203125,84258.03125,83262.7890625,83627.6875,14200,0.0,0.0
2026-01-14 00:00:00+05:30,83358.5390625,83809.9765625,83185.203125,83382.7109375,14100,0.0,0.0
2026-01-16 00:00:00+05:30,83670.7890625,84134.96875,83456.5,83570.3515625,22800,0.0,0.0
2026-01-19 00:00:00+05:30,83494.4921875,83539.9296875,82898.3125,83246.1796875,14200,0.0,0.0
2026-01-20 00:00:00+05:30,83207.3828125,83254.28125,82010.578125,82180.46875,13000,0.0,0.0
2026-01-21 00:00:00+05:30,81794.6484375,82407.046875,81124.453125,81909.6328125,13200,0.0,0.0
2026-01-22 00:00:00+05:30,82459.65625,82783.1796875,81874.390625,82307.3671875,26500,0.0,0.0
2026-01-23 00:00:00+05:30,82335.9375,82516.2734375,81471.8203125,81537.703125,19700,0.0,0.0
2026-01-27 00:00:00+05:30,81436.7890625,82084.921875,81088.59375,81857.4765625,27000,0.0,0.0
2026-01-28 00:00:00+05:30,81892.359375,82503.96875,81814.75,82344.6796875,33200,0.0,0.0
2026-01-29 00:00:00+05:30,82368.9609375,82689.9609375,81707.9375,82566.3671875,23500,0.0,0.0
2026-01-30 00:00:00+05:30,81947.3125,82430.8203125,81941.03125,82269.78125,13900,0.0,0.0
2026-02-02 00:00:00+05:30,80555.6796875,81732.25,80387.25,81666.4609375,12300,0.0,0.0
2026-02-03 00:00:00+05:30,85323.203125,85871.7265625,83501.21875,83739.1328125,19800,0.0,0.0
2026-02-04 00:00:00+05:30,83252.0625,83947.53125,83119.953125,83817.6875,19900,0.0,0.0
2026-02-05 00:00:00+05:30,83757.5390625,83784.171875,83151.6171875,83313.9296875,25000,0.0,0.0
2026-02-06 00:00:00+05:30,83249.3203125,83612.1171875,82925.3515625,83580.3984375,16100,0.0,0.0
2026-02-09 00:00:00+05:30,84177.5078125,84314.6796875,83860.421875,84065.75,14600,0.0,0.0
2026-02-10 00:00:00+05:30,84210.0,84482.953125,84063.46875,84273.921875,45500,0.0,0.0
2026-02-11 00:00:00+05:30,84339.1484375,84487.34375,84081.25,84233.640625,23900,0.0,0.0
2026-02-12 00:00:00+05:30,83968.4296875,84061.6171875,83516.671875,83674.921875,36800,0.0,0.0
2026-02-13 00:00:00+05:30,82902.7265625,83079.703125,82534.546875,82626.7578125,30200,0.0,0.0
2026-02-16 00:00:00+05:30,82480.3984375,83333.4921875,82276.953125,83277.1484375,33800,0.0,0.0
2026-02-17 00:00:00+05:30,83197.671875,83598.0,82987.4296875,83450.9609375,13400,0.0,0.0
2026-02-18 00:00:00+05:30,83553.59375,83770.046875,83163.6171875,83734.25,20800,0.0,0.0
2026-02-19 00:00:00+05:30,83969.8203125,83979.359375,82264.203125,82498.140625,13400,0.0,0.0
2026-02-20 00:00:00+05:30,82272.4921875,83132.078125,82206.2109375,82814.7109375,19600,0.0,0.0
2026-02-23 00:00:00+05:30,82906.828125,83486.1484375,82906.828125,83294.65625,20300,0.0,0.0
2026-02-24 00:00:00+05:30,83052.5390625,83079.5078125,81934.7265625,82225.921875,20200,0.0,0.0
2026-02-25 00:00:00+05:30,82530.1171875,82957.90625,82132.6328125,82276.0703125,19200,0.0,0.0
2026-02-26 00:00:00+05:30,82418.78125,82579.15625,81970.46875,82248.609375,122500,0.0,0.0
2026-02-27 00:00:00+05:30,82220.4765625,82246.171875,81159.1484375,81287.1875,15800,0.0,0.0
2026-03-02 00:00:00+05:30,78543.7265625,80632.546875,78543.7265625,80238.8515625,30600,0.0,0.0
2026-03-04 00:00:00+05:30,78528.8203125,79527.40625,78443.203125,79116.1875,21800,0.0,0.0
2026-03-05 00:00:00+05:30,79530.4765625,80303.828125,79201.6875,80015.8984375,22200,0.0,0.0
2026-03-06 00:00:00+05:30,79658.9921875,79753.03125,78812.1796875,78918.8984375,18100,0.0,0.0
2026-03-09 00:00:00+05:30,77056.75,77711.3515625,76424.546875,77566.15625,16600,0.0,0.0
2026-03-10 00:00:00+05:30,78375.7265625,78526.25,77745.46875,78205.9765625,22000,0.0,0.0
2026-03-11 00:00:00+05:30,78238.90625,78324.3671875,76759.2578125,76863.7109375,16400,0.0,0.0
2026-03-12 00:00:00+05:30,76369.6484375,76681.7109375,75871.1796875,76034.421875,22700,0.0,0.0
2026-03-13 00:00:00+05:30,75444.21875,75576.203125,74454.6015625,74563.921875,18500,0.0,0.0
2026-03-16 00:00:00+05:30,74415.7890625,75805.2734375,73949.7578125,75502.8515625,16700,0.0,0.0
2026-03-17 00:00:00+05:30,75826.6796875,76304.2578125,75324.7265625,76070.84375,35200,0.0,0.0
2026-03-18 00:00:00+05:30,76367.546875,77000.21875,76187.921875,76704.1328125,19300,0.0,0.0
2026-03-19 00:00:00+05:30,74750.921875,75354.1796875,73950.953125,74207.2421875,31000,0.0,0.0
2026-03-20 00:00:00+05:30,74559.3828125,75286.390625,74385.0390625,74532.9609375,19000,0.0,0.0
2026-03-23 00:00:00+05:30,73732.578125,73732.578125,72558.4375,72696.390625,19300,0.0,0.0
2026-03-24 00:00:00+05:30,74212.46875,74489.390625,73084.4609375,74068.453125,0,0.0,0.0
